word,model_type,back,hurdle_place,theta_mean,theta_se_mean,theta_sd,theta_2.5%,theta_25%,theta_50%,theta_75%,theta_97.5%,theta_n_eff,theta_Rhat,lambda_mean,lambda_se_mean,lambda_sd,lambda_2.5%,lambda_25%,lambda_50%,lambda_75%,lambda_97.5%,lambda_n_eff,lambda_Rhat,mu_mean,mu_se_mean,mu_sd,mu_2.5%,mu_25%,mu_50%,mu_75%,mu_97.5%,mu_n_eff,mu_Rhat,phi_mean,phi_se_mean,phi_sd,phi_2.5%,phi_25%,phi_50%,phi_75%,phi_97.5%,phi_n_eff,phi_Rhat,psi_intercept_mean,psi_intercept_se_mean,psi_intercept_sd,psi_intercept_2.5%,psi_intercept_25%,psi_intercept_50%,psi_intercept_75%,psi_intercept_97.5%,psi_intercept_n_eff,psi_intercept_Rhat,psi_slope_mean,psi_slope_se_mean,psi_slope_sd,psi_slope_2.5%,psi_slope_25%,psi_slope_50%,psi_slope_75%,psi_slope_97.5%,psi_slope_n_eff,psi_slope_Rhat,alpha_intercept_mean,alpha_intercept_se_mean,alpha_intercept_sd,alpha_intercept_2.5%,alpha_intercept_25%,alpha_intercept_50%,alpha_intercept_75%,alpha_intercept_97.5%,alpha_intercept_n_eff,alpha_intercept_Rhat,alpha_slope_mean,alpha_slope_se_mean,alpha_slope_sd,alpha_slope_2.5%,alpha_slope_25%,alpha_slope_50%,alpha_slope_75%,alpha_slope_97.5%,alpha_slope_n_eff,alpha_slope_Rhat,waic,waic_scaled,keep
'd,gen,FALSE,NA,2.060569242,0.001539436,0.092022127,1.879159592,1.998749023,2.060929302,2.122300222,2.242097196,3573.231236,1.000431513,0.197429494,0.000585445,0.036985468,0.128165625,0.171852091,0.196435709,0.221477642,0.271891985,3991.074684,0.999642284,6.095092432,0.002151581,0.131948395,5.841041565,6.005939229,6.092255163,6.182219536,6.357361107,3760.908116,1.000496633,20.80353504,0.084053517,5.093868451,13.16044622,17.21442887,20.05468364,23.52937034,32.82170821,3672.684883,1.000592204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3668.010595,8.115067687,hur
'd,hurdle,FALSE,1,1.27924613,0.006502861,0.310679312,0.67752631,1.069832294,1.281689435,1.487781779,1.896523935,2282.526145,1.000659518,0.333218912,0.000975615,0.047658212,0.238719216,0.300615299,0.334453016,0.366879465,0.420705405,2386.265004,1.000449287,6.09851917,0.002239585,0.13666301,5.833486717,6.006591183,6.094157497,6.190074638,6.377149334,3723.634562,1.000247392,20.65030359,0.085063403,4.926648672,13.16058528,17.19304432,20.03959368,23.28326859,32.46549951,3354.42187,0.999783289,1.69540713,0.005972443,0.271827037,1.167676988,1.513945192,1.692992122,1.878717303,2.245942758,2071.482194,1.000555251,-0.280328587,0.000945216,0.043074575,-0.365347608,-0.308812181,-0.279835018,-0.250735136,-0.197058019,2076.730692,1.000547919,-5.455722134,0.076442795,3.347109332,-12.81429331,-7.5449709,-5.138645023,-3.036544954,0.17158748,1917.196732,1.002918845,-0.926576932,0.01462024,0.686494272,-2.435923641,-1.361246454,-0.871706779,-0.424502187,0.230120189,2204.777895,1.001118782,3431.258589,7.591280063,hur
'll,gen,FALSE,NA,1.931416053,0.001166513,0.069696101,1.795625901,1.886473695,1.930673137,1.978871494,2.067434469,3569.751911,1.000002195,0.075398491,0.000462251,0.025976774,0.027485588,0.057813101,0.074679258,0.091935899,0.129480475,3158.023402,1.000329062,5.824885247,0.001674688,0.107090834,5.611156921,5.751697142,5.824997626,5.896755807,6.031629149,4089.183288,0.999478142,15.66925715,0.050634231,2.931739491,11.04628471,13.5628088,15.27028087,17.39222563,22.41901566,3352.450074,1.000045824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5322.045709,7.849624939,hur
'll,hurdle,FALSE,1,0.59089742,0.005597609,0.243218382,0.154510604,0.419881571,0.579979857,0.75425088,1.089588293,1887.937509,1.000045705,0.313501592,0.000769365,0.036743993,0.236913006,0.289844579,0.314842667,0.338567028,0.381433833,2280.908132,0.999858871,5.823170699,0.001788825,0.10642276,5.619865176,5.748449989,5.823369231,5.895689699,6.036506478,3539.428117,0.999576818,15.60244774,0.052738055,2.876127468,11.09272287,13.59169603,15.24602532,17.20363128,22.355222,2974.185456,0.999498371,1.489831032,0.004310152,0.196340264,1.107963187,1.354646192,1.488858122,1.620088014,1.882288121,2075.074243,1.005236239,-0.217931566,0.000671006,0.030854562,-0.279256188,-0.238749495,-0.217618932,-0.197112448,-0.158679466,2114.393068,1.007030964,-5.883903773,0.072577444,3.238500834,-12.99085525,-7.837793182,-5.610816581,-3.547062505,-0.496738281,1991.061545,1.002246715,-0.93252867,0.014716557,0.704077799,-2.473660564,-1.37714495,-0.874141259,-0.399228754,0.221843228,2288.910935,0.999959453,4924.708586,7.263581985,hur
'm,gen,FALSE,NA,1.994474608,0.001024765,0.062148284,1.876442511,1.95284036,1.993432866,2.035205695,2.120027315,3677.985048,1.000941973,0.168282277,0.000384061,0.025092161,0.12131618,0.151164941,0.167829706,0.184429019,0.220941019,4268.507329,0.999909982,5.820234906,0.00166338,0.102191582,5.624393691,5.750850004,5.819077072,5.890609736,6.024984522,3774.395437,0.999153345,10.07742005,0.021092453,1.325293174,7.807275803,9.13664299,9.962724585,10.869772,13.05155685,3947.932646,0.999920787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7406.166213,8.094170724,hur
'm,hurdle,FALSE,1,1.300065535,0.005493949,0.252879024,0.812968892,1.134059018,1.297147808,1.463201282,1.809964793,2118.636443,1.000190232,0.322267837,0.000786367,0.036384688,0.248045954,0.297937225,0.323409379,0.347123862,0.389848333,2140.850003,0.999897504,5.821980679,0.001666658,0.099129799,5.637845648,5.754664291,5.81813249,5.888751419,6.021327296,3537.65633,1.000151927,10.06157158,0.022134075,1.309419628,7.866125572,9.155146736,9.90629969,10.85147146,12.97187594,3499.733159,1.001983181,1.214727262,0.003347021,0.150672443,0.919454136,1.110030976,1.214744854,1.317803242,1.501748693,2026.519619,1.000631802,-0.164886496,0.00051112,0.022795674,-0.208440661,-0.180613424,-0.164450482,-0.149275631,-0.120444482,1989.107818,1.000274687,-6.028238155,0.060958012,3.00955637,-12.43449372,-7.94332945,-5.757461731,-3.853190821,-0.9810344,2437.492981,1.00015012,-0.952688998,0.014537101,0.72371379,-2.558056311,-1.412866064,-0.864104548,-0.43013182,0.213497525,2478.438178,1.000065008,6910.183409,7.552113015,hur
're,gen,FALSE,NA,2.318312069,0.001023483,0.063597899,2.196048467,2.2754901,2.316966662,2.36209287,2.443290826,3861.217556,1.000080948,0.290133558,0.000465774,0.027619138,0.237776491,0.271413399,0.290019067,0.30796418,0.345875889,3516.166562,0.999737733,5.708829754,0.001217854,0.081118294,5.552412179,5.652483623,5.707929922,5.763108749,5.871052901,4436.569887,1.001341627,14.32947986,0.032310597,2.029395263,10.94217443,12.87997268,14.11891366,15.5315978,19.12777052,3944.96656,1.000928244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9570.536763,8.159025373,hur
're,hurdle,FALSE,1,1.676939617,0.003654167,0.190612003,1.3114999,1.545039136,1.673568452,1.804384571,2.056353328,2720.969888,1.000217981,0.339583678,0.000517311,0.028031307,0.283336317,0.321128251,0.34083469,0.358773265,0.391914151,2936.183639,1.000651448,5.708480273,0.001366386,0.085685144,5.545330843,5.648747891,5.707087841,5.766619868,5.87894299,3932.459525,1.000086929,14.31891707,0.034971536,2.081290454,10.90718928,12.83596488,14.09552685,15.55173189,19.03561435,3541.897353,1.000154382,1.383942953,0.003274636,0.149051627,1.09541293,1.282558715,1.381726689,1.482899802,1.672284493,2071.797321,1.000118923,-0.292005051,0.00056755,0.02555691,-0.34230367,-0.309104708,-0.29147747,-0.275172577,-0.241794383,2027.725435,1.000240749,-6.191058839,0.061197826,2.976980451,-12.64597961,-8.108340349,-5.941177507,-4.062957969,-1.039969953,2366.355416,1.000888459,-0.972746492,0.013896676,0.691741913,-2.494218529,-1.409515227,-0.910522931,-0.471181046,0.176462659,2477.800306,1.000765228,9150.371436,7.800828163,hur
's,gen,FALSE,NA,2.124236794,0.000457086,0.028042039,2.070879971,2.104882382,2.124219084,2.143391495,2.178864195,3763.779882,1.000969534,0.166911553,0.000187578,0.011292262,0.145840658,0.159164786,0.166534692,0.174532853,0.189190692,3624.066159,1.000403464,5.042531349,0.000499122,0.036038775,4.97225644,5.018793479,5.042255547,5.067242447,5.11354331,5213.463583,0.99964357,12.64807778,0.013514935,0.852549,11.09213488,12.03811678,12.59887355,13.21670493,14.42390915,3979.337346,1.000173909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41759.64605,7.701889717,hur
's,hurdle,FALSE,1,1.318398031,0.00200253,0.10099427,1.12250746,1.247869149,1.317314314,1.386910055,1.513313737,2543.520223,1.000072504,0.298713922,0.000278996,0.014799989,0.269993239,0.288625203,0.298618639,0.308634386,0.328287849,2814.014117,0.99980737,5.04334953,0.000528142,0.035306876,4.974372521,5.019682453,5.043754751,5.066784059,5.113557638,4469.068882,0.9997995,12.60578184,0.01250791,0.808170841,11.15538495,12.04511922,12.56992751,13.13626123,14.28158549,4174.811674,1.001088753,1.74575866,0.001371179,0.068711793,1.613981147,1.698858136,1.74502402,1.792370725,1.883478199,2511.157536,1.001170117,-0.30831029,0.000244519,0.012611795,-0.332634468,-0.316741806,-0.308317879,-0.299668749,-0.283818785,2660.295299,1.001603169,-2.610062296,0.027048567,1.421962294,-5.454945231,-3.559407588,-2.529376131,-1.615436275,0.002808175,2763.679271,1.003201004,-1.509340215,0.011384169,0.586140179,-2.731349633,-1.893042996,-1.477290382,-1.084975812,-0.472637662,2650.942493,1.001981102,39022.05285,7.196985033,hur
