text_lower,sbc001,sbc002,sbc003,sbc004,sbc005,sbc006,sbc007,sbc008,sbc009,sbc010,sbc011,sbc012,sbc013,sbc014,sbc015,sbc016,sbc017,sbc018,sbc019,sbc020,sbc021,sbc022,sbc023,sbc024,sbc025,sbc026,sbc027,sbc028,sbc029,sbc030,sbc031,sbc032,sbc033,sbc034,sbc035,sbc036,sbc037,sbc038,sbc039,sbc040,sbc041,sbc042,sbc043,sbc044,sbc045,sbc046,sbc047,sbc048,sbc049,sbc050,sbc051,sbc052,sbc053,sbc054,sbc055,sbc056,sbc057,sbc058,sbc059,sbc060,sd,vbar,D,U,Urank
i,173,239,158,199,165,218,149,171,108,238,180,86,267,108,255,144,90,43,158,43,165,97,217,120,47,110,59,242,165,40,195,273,114,124,234,244,86,12,94,12,90,180,349,418,199,150,218,115,99,134,264,243,124,83,165,252,131,149,246,203,80.62840059836762,160.9,0.9347611953509815,9024.184579918376,1
the,171,133,169,163,87,148,91,153,80,72,113,162,142,229,216,190,193,54,99,264,158,92,210,72,184,232,128,108,204,149,85,201,53,77,137,90,106,238,196,173,51,83,143,120,100,73,119,59,227,74,162,162,170,129,99,228,105,94,174,125,54.77529599050523,138.65,0.9485673556894615,7891.1318319806305,2
and,202,107,108,147,90,231,144,182,41,104,119,64,111,168,251,107,153,75,102,116,169,66,166,27,115,123,101,120,89,157,125,217,51,102,126,209,69,99,98,158,83,46,270,313,159,86,147,27,90,82,201,215,116,141,126,267,77,76,210,116,62.144016715684884,130.95,0.9382171679252452,7371.572288388651,3
you,219,118,137,164,94,161,57,199,121,131,86,87,218,63,201,158,102,39,110,101,122,108,58,136,75,36,83,198,165,40,111,137,99,46,216,202,109,36,73,30,147,104,171,159,109,153,147,103,99,83,160,123,91,64,39,92,139,106,227,91,51.855544135869586,117.55,0.9425689764409451,6647.938990837985,4
it,184,108,153,87,78,121,77,75,78,79,91,48,218,108,253,116,184,53,123,66,69,38,118,30,68,49,62,133,131,45,123,83,39,85,127,177,97,65,115,15,72,111,114,123,116,121,77,110,144,75,166,150,51,26,42,192,103,87,171,84,49.08341798310255,101.73333333333333,0.9371875812473456,5720.592995933797,5
that,123,133,116,91,87,101,57,105,100,133,89,114,136,124,136,134,124,35,74,98,115,67,156,66,72,135,50,117,162,87,114,111,64,53,146,159,62,110,95,45,98,55,137,139,87,68,99,83,112,68,109,109,141,45,40,91,87,80,135,78,32.41839385113034,99.28333333333333,0.9574901924670864,5703.769076526434,6
's,150,119,123,68,66,200,48,81,62,80,43,54,171,110,184,105,118,45,84,64,55,30,68,43,51,42,67,115,121,49,112,113,59,63,144,183,64,56,95,40,62,77,138,158,145,66,89,82,80,77,131,96,62,17,29,207,70,87,147,57,45.10363458865976,90.36666666666666,0.9350203644222652,5069.680415897521,7
to,92,58,69,111,47,145,73,101,48,113,55,68,114,120,116,80,81,32,76,79,118,52,98,35,97,121,47,70,94,136,45,98,55,59,120,75,57,67,98,89,61,46,128,141,66,55,99,57,85,32,94,66,84,59,72,132,83,68,83,56,28.82493427847134,81.26666666666667,0.9538225577997375,4650.83879183152,8
a,101,86,74,62,55,88,31,91,19,52,58,88,145,112,125,107,89,33,81,38,77,51,89,46,50,76,89,77,113,77,79,128,53,53,99,130,38,81,95,100,90,46,91,84,86,74,78,42,76,40,118,117,56,67,64,183,69,69,144,121,31.700839426409246,80.85,0.9489536454903873,4603.374134273869,9
of,63,49,76,40,45,68,28,34,48,43,36,122,61,94,105,60,73,18,51,125,70,33,99,38,83,74,54,50,45,58,38,77,26,21,35,34,23,95,62,79,58,17,70,56,34,35,23,15,47,26,48,69,53,51,62,73,32,33,62,78,25.137109893249676,54.583333333333336,0.9400444648145196,3078.645622267552,10
n't,59,80,56,56,37,81,50,38,38,42,48,40,123,41,92,34,37,18,54,26,43,34,98,46,11,23,13,62,49,30,90,47,25,37,86,116,49,6,47,19,25,64,103,121,53,44,57,36,58,51,61,95,27,18,34,83,37,49,95,43,27.805392112115136,52.25,0.9307185891201711,2917.8027768917364,11
in,46,53,70,49,37,58,32,57,18,23,48,77,52,63,53,46,40,21,43,86,70,24,67,7,60,55,55,27,78,67,34,121,39,36,57,53,36,73,38,71,15,34,52,53,38,24,53,25,85,26,76,31,21,28,53,72,35,36,71,64,21.20718351805259,48.86666666666667,0.9435005430998824,2766.3435923688553,12
was,63,76,35,41,42,87,66,77,5,45,37,14,71,33,80,13,33,19,31,25,70,45,149,10,9,13,7,59,16,62,73,90,24,22,53,174,22,26,30,85,17,25,86,134,72,30,38,2,44,48,73,51,60,36,63,101,7,38,75,88,35.28896051831616,50.333333333333336,0.9087238806716913,2744.3461196285075,13
he,23,45,19,31,7,167,55,141,0,18,26,13,31,67,106,7,17,26,63,93,55,23,42,16,91,3,6,30,1,84,78,104,1,3,6,188,54,0,3,126,0,10,71,264,51,23,28,15,61,40,14,36,86,74,18,203,29,55,104,37,54.69033523723896,51.46666666666667,0.8616565702257969,2660.795488857261,14
they,83,82,54,109,17,93,31,31,2,19,47,49,81,125,79,15,73,26,38,13,49,41,64,11,9,32,31,31,30,42,59,32,3,20,58,103,32,67,140,33,2,12,57,49,42,23,52,20,160,39,55,94,21,13,14,28,5,36,76,61,34.51754241633197,46.88333333333333,0.9041492799804481,2543.3719245850007,15
do,61,57,48,55,31,58,42,49,62,53,42,41,92,38,54,37,30,18,59,24,27,33,35,42,22,42,32,27,86,24,46,35,30,28,55,96,52,7,64,9,42,45,88,77,40,44,36,34,38,46,59,69,38,11,14,71,43,57,77,16,20.274221755633683,44.8,0.9410830613538018,2529.631268919019,16
know,131,51,62,71,22,94,44,92,14,120,32,21,34,36,107,38,70,13,34,25,44,25,43,13,3,17,4,95,35,22,52,28,11,9,62,109,14,0,28,9,33,34,73,65,53,58,74,28,46,41,65,65,13,5,12,35,5,43,72,50,31.167236165073916,43.4,0.9065062549628313,2360.5422879232124,17
is,46,47,55,35,26,52,21,28,40,54,13,67,66,59,77,61,48,12,38,61,39,25,47,30,74,74,48,20,82,36,28,56,44,21,38,35,11,31,74,50,25,23,27,57,18,22,32,56,28,19,79,24,36,15,28,73,28,27,52,17,19.38048263962053,40.916666666666664,0.9383350567217525,2303.6125642519023,18
yeah,25,57,63,24,31,30,25,76,28,96,38,10,68,38,69,74,54,26,32,2,19,48,52,38,0,1,4,57,95,0,60,146,15,18,44,61,34,23,32,0,31,22,76,26,33,33,86,88,72,64,62,101,2,0,0,62,12,62,93,10,31.62409865623381,42.46666666666667,0.9030508564017611,2300.9735821116874,19
so,34,36,34,30,21,84,22,56,27,11,18,18,39,37,36,54,23,11,25,18,24,26,37,60,21,18,29,66,67,36,35,54,15,27,43,39,19,14,80,26,35,13,85,68,48,30,32,18,42,53,41,58,36,26,38,49,17,22,53,18,18.338129829666862,35.86666666666667,0.9334362132356147,2008.7547308830426,20
we,55,10,48,17,13,26,28,21,7,96,15,72,60,71,24,42,32,36,27,64,95,7,24,13,17,50,33,51,85,42,14,60,19,33,77,19,17,33,28,16,26,16,64,20,42,9,18,16,45,46,60,51,24,5,24,47,12,29,31,59,22.713761726130095,35.68333333333333,0.9171299419877778,1963.5752057958318,21
