.
"'d,'ll,'m,'re,'s,'ve,always,are,as,ca,came,can,could,did,do,does,even,first,goes,gon,got,guess,had,has,have,he,is,just,like,look,n't,need,never,not,only,probably,see,she,should,still,that,there,they,think,thought,told,wan,wanted,was,we,went,were,what,will,would,you,remember"
"'d,'re,'s,'ve,always,been,came,first,goes,gon,got,had,have,like,n't,need,never,not,only,said,see,still,thought,told,wan,wanted,was,were,will,remember"
"a,after,all,any,are,as,at,be,by,come,first,five,for,four,from,getting,go,going,he,in,into,is,it,kinda,like,long,look,more,one,really,see,she,some,than,that,the,there,they,this,those,three,two,we,what,you,remember"
"a,about,all,an,another,any,around,at,be,before,big,by,call,come,day,different,doing,down,first,five,for,four,from,getting,go,going,guy,her,in,into,kinda,like,little,me,more,new,of,off,on,one,other,out,over,really,say,see,some,something,ten,than,the,their,them,this,those,three,through,two,up,way,whole,with,work,years,his,remember"
"after,and,as,cause,he,how,i,if,it,let,maybe,she,that,there,they,we,what,when,where,which,who,you"
"all,always,are,as,be,came,can,did,do,does,even,first,go,goes,going,gon,got,has,have,he,is,kind,like,long,look,make,n't,not,one,people,put,see,she,still,that,there,they,thing,this,told,want,wanted,we,were,what,will,you,remember,give"
"all,always,anything,around,be,been,before,call,came,day,doing,down,em,first,get,go,goes,going,gon,got,guy,have,her,him,kind,like,lot,make,me,much,n't,na,not,off,one,out,people,pretty,put,say,see,something,still,stuff,tell,them,thing,things,this,time,told,up,us,very,want,wanted,way,were,will,work,year,years,remember,give"
"an,another,big,little,my,new,of,our,real,the,their,whole,your,his"
"anything,before,day,em,everything,here,like,me,say,see,something,stuff,thing,though,time,too,us,work,year,years,remember"
"are,as,first,he,is,it,kinda,like,look,now,really,see,she,that,the,there,they,we,what,you,remember"
"as,he,i,if,it,let,maybe,now,she,that,there,they,we,what,why,you"
"as,did,do,does,even,got,has,he,if,just,let,never,only,probably,she,that,there,they,wanted,we,went,what,why,you"
"as,did,do,does,even,got,has,he,how,if,let,people,she,that,there,they,wanted,we,what,you"
"because,but,i,maybe,now,so,well,what,why,you"
"because,but,i,maybe,so,what,who,you"
"before,day,good,here,like,me,really,say,see,something,ten,three,too,work,years,remember"
"every,gon,got,never,only,wanted"
"every,gon,got,much,na,out,people,things,wanted"
"everything,god,thing"
"god,what,you"
"god,uh,man"
"god,uh,man"
"guess,mean,then"
"know,like,really,see,remember"
"know,like,said,see,remember"
"mhm,oh,right"
"mm,no,okay,yeah,yes,alright"
"mom,no,oh"
"mom,now,then"
"or,right,great"
"sure,uh,um"
