"word","model_type","back","hurdle_place","mu_mean","phi_mean","theta_mean","lambda_mean","psi_intercept_mean","psi_slope_mean","alpha_intercept_mean","alpha_slope_mean","waic","waic_scaled"
"'d","hurdle",FALSE,1,6.09851917,20.65030359,1.27924613,0.333218912,1.69540713,-0.280328587,-5.455722134,-0.926576932,3431.258589,7.591280063
"'ll","hurdle",FALSE,1,5.823170699,15.60244774,0.59089742,0.313501592,1.489831032,-0.217931566,-5.883903773,-0.93252867,4924.708586,7.263581985
"'m","hurdle",FALSE,1,5.821980679,10.06157158,1.300065535,0.322267837,1.214727262,-0.164886496,-6.028238155,-0.952688998,6910.183409,7.552113015
"'re","hurdle",FALSE,1,5.708480273,14.31891707,1.676939617,0.339583678,1.383942953,-0.292005051,-6.191058839,-0.972746492,9150.371436,7.800828163
"'s","hurdle",FALSE,1,5.04334953,12.60578184,1.318398031,0.298713922,1.74575866,-0.30831029,-2.610062296,-1.509340215,39022.05285,7.196985033
"'ve","hurdle",FALSE,1,6.273682871,22.21937069,0.991021887,0.355681495,0.992288815,-0.207483239,-5.589667671,-0.969265152,3973.581341,7.806643105
"a","gen",TRUE,NA,5.980376419,16.16593331,2.656682542,0.322316638,NA,NA,NA,NA,40579.46272,8.365174752
"about","gen",TRUE,NA,6.133232856,15.27150552,1.904402088,0.495581845,NA,NA,NA,NA,7473.083521,8.47288381
"after","hurdle",FALSE,0,4.915638995,5.727818054,4.058657496,0.634306982,2.051475405,-0.580842009,NA,NA,1332.379168,8.075025262
"all","gen",TRUE,NA,5.726622942,12.6735888,3.656089179,0.818761877,NA,NA,NA,NA,9365.181914,8.429506674
"always","gen",FALSE,NA,5.665373205,11.33679989,2.779281007,0.341210658,NA,NA,NA,NA,1724.52567,8.2909888
"an","hurdle",TRUE,-2,5.740727113,12.94504704,2.292102958,0.317040744,1.169751871,-0.264723349,1.581487508,-1.238886945,3099.871023,8.114845611
"and","hurdle",FALSE,1,4.707266232,3.343165015,6.050966554,0.345037247,0.275965834,-0.328350811,3.186686509,-0.316283638,53614.71469,6.82381503
"another","hurdle",TRUE,-2,5.531603461,13.233437,2.91078659,0.252575456,2.049267461,-0.401233232,0.727200945,-0.358321164,1153.926794,8.183877969
"any","gen",TRUE,NA,6.253478694,14.74123547,2.406803288,0.357609223,NA,NA,NA,NA,2505.153569,8.520930505
"anything","hurdle",TRUE,-1,5.685174048,5.906140079,2.54093438,0.163302373,1.585200426,-0.270063415,NA,NA,1606.038378,7.990240685
"are","gen",FALSE,NA,5.149687942,9.033915485,2.289022244,0.751511301,NA,NA,NA,NA,7520.720643,8.130508804
"around","hurdle",TRUE,-1,5.481362931,8.239368549,2.009578332,0.249105226,1.533923884,-0.394381208,NA,NA,2168.021696,8.00008006
"as","gen",TRUE,NA,6.148775591,11.67453553,3.994946959,0.462673345,NA,NA,NA,NA,4815.253513,8.522572589
"at","gen",TRUE,NA,5.888607418,9.985392606,2.655286778,0.306360676,NA,NA,NA,NA,8972.565876,8.409152648
"be","gen",TRUE,NA,6.321265603,18.30463311,2.456479638,0.591789384,NA,NA,NA,NA,10194.5893,8.632167059
"because","gen",FALSE,NA,4.447265282,1.676344465,0.405345687,0.927753214,NA,NA,NA,NA,3649.129107,6.610741137
"been","gen",FALSE,NA,6.292696929,23.38028941,3.88409069,0.045939462,NA,NA,NA,NA,3329.014054,8.099790885
"before","hurdle",TRUE,0,5.544148376,9.320899419,1.350034102,0.788994681,0.868824957,-0.362401282,NA,NA,1229.315082,8.034739101
"big","hurdle",TRUE,-2,5.582942643,9.423769324,2.046999616,0.301783503,2.176208644,-0.36272284,2.357296563,-0.646113515,1821.508441,8.09559307
"but","gen",FALSE,NA,3.791673247,1.470662092,0.21216612,0.947994534,NA,NA,NA,NA,10892.86761,5.763422018
"by","gen",TRUE,NA,5.547151207,9.938317249,2.86773305,0.364775922,NA,NA,NA,NA,2609.595803,8.284431121
"ca","hurdle",FALSE,1,5.652426992,23.6470653,0.547103292,0.261404599,2.189853238,-0.34976727,1.133079745,-0.560329606,1941.883519,7.245834025
"call","gen",FALSE,NA,5.462427575,14.7201202,4.196765356,0.636330934,NA,NA,NA,NA,1280.205545,8.154175448
"came","gen",FALSE,NA,5.753344797,16.84461236,2.744805641,0.359526371,NA,NA,NA,NA,1399.324608,8.231321224
"can","gen",FALSE,NA,5.715306191,20.18735042,2.12480754,0.435485624,NA,NA,NA,NA,6042.979835,8.210570429
"cause","gen",FALSE,NA,5.028792418,5.624714443,0.113189893,0.796836901,NA,NA,NA,NA,3158.61605,5.69120009
