"word","model_type","back","hurdle_place","theta_mean","theta_se_mean","theta_sd","theta_2.5%","theta_25%","theta_50%","theta_75%","theta_97.5%","theta_n_eff","theta_Rhat","lambda_mean","lambda_se_mean","lambda_sd","lambda_2.5%","lambda_25%","lambda_50%","lambda_75%","lambda_97.5%","lambda_n_eff","lambda_Rhat","mu_mean","mu_se_mean","mu_sd","mu_2.5%","mu_25%","mu_50%","mu_75%","mu_97.5%","mu_n_eff","mu_Rhat","phi_mean","phi_se_mean","phi_sd","phi_2.5%","phi_25%","phi_50%","phi_75%","phi_97.5%","phi_n_eff","phi_Rhat","psi_intercept_mean","psi_intercept_se_mean","psi_intercept_sd","psi_intercept_2.5%","psi_intercept_25%","psi_intercept_50%","psi_intercept_75%","psi_intercept_97.5%","psi_intercept_n_eff","psi_intercept_Rhat","psi_slope_mean","psi_slope_se_mean","psi_slope_sd","psi_slope_2.5%","psi_slope_25%","psi_slope_50%","psi_slope_75%","psi_slope_97.5%","psi_slope_n_eff","psi_slope_Rhat","alpha_intercept_mean","alpha_intercept_se_mean","alpha_intercept_sd","alpha_intercept_2.5%","alpha_intercept_25%","alpha_intercept_50%","alpha_intercept_75%","alpha_intercept_97.5%","alpha_intercept_n_eff","alpha_intercept_Rhat","alpha_slope_mean","alpha_slope_se_mean","alpha_slope_sd","alpha_slope_2.5%","alpha_slope_25%","alpha_slope_50%","alpha_slope_75%","alpha_slope_97.5%","alpha_slope_n_eff","alpha_slope_Rhat","waic","waic_scaled"
"every","gen","FALSE",NA,"1.83388851991505","0.00461565753066612","0.240567875432667","1.39382243301278","1.66882894411548","1.82340874637768","1.98891809217825","2.32151829794523","2716.48999463952","0.99939791522304","0.887587469479168","0.00157338945802955","0.0809504384724817","0.699037156555327","0.836954664573695","0.902772042457063","0.952737394939357","0.994732866115514","2647.07312602618","0.999472374233055","5.24837087066104","0.00474084805876702","0.292042691971942","4.68624860701145","5.04695650463939","5.24449343918587","5.43830552465736","5.83071520973384","3794.72765776143","0.999232114498297","3.82776082214096","0.0147105507723898","0.841608060047107","2.49359947844217","3.22856325445728","3.70880060281851","4.31697072981418","5.75077605171213","3273.11983188196","1.00028505855466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1189.56126216499","8.37719198707741"
"every","hurdle","FALSE","-2","1.46330800405853","0.00425224895905604","0.261490070492606","0.986892996337896","1.28957237580044","1.44453652996158","1.62364004153065","2.02523398002849","3781.57777850111","0.999582228426102","0.862484152271566","0.0014578477016782","0.0947498187410929","0.650097344318071","0.80060386518273","0.877908302592688","0.939362841318526","0.992786575445122","4224.08318933352","0.999333271723389","5.26025536420067","0.00465954269192318","0.301961234077551","4.69446542415522","5.05290732712071","5.25160942794687","5.45829475002242","5.87846292793826","4199.6760620962","0.9997237121597","3.81492678594664","0.0141340315839905","0.827721103577883","2.48361433552388","3.23157637642025","3.72064015173357","4.28389879925131","5.70345019791798","3429.54054289956","0.999818953046824","1.42149393215486","0.00833499255417731","0.411846318970189","0.65222678809539","1.13159614643267","1.41033267971609","1.69361407133515","2.268750237115","2441.51808143377","1.00093749721897","-0.379169935642425","0.00159830263876211","0.0805280534555747","-0.545683761280894","-0.430494553522189","-0.377061678811589","-0.323169796978482","-0.229878988962456","2538.4953356729","1.00075087222863","1.3503027624097","0.0129670357156253","0.648976715800523","0.0923985547005733","0.903075360670633","1.3532893447367","1.79528347488768","2.61076684267708","2504.8216971878","1.00109999524211","-1.12139507395935","0.00546956485420467","0.292494704321565","-1.7517281341535","-1.30555126726729","-1.09985970078259","-0.91128747775935","-0.618850329066188","2859.76576290405","1.00116632758527","1171.55861597844","8.25041278858053"
"everything","gen","TRUE",NA,"1.24334381397335","0.00327899625169271","0.174298926260467","0.936171913481902","1.11519986984606","1.23375442160087","1.35944553983827","1.61592533264926","2825.57983811499","0.99981910271738","0.858203452313206","0.00189715659526001","0.102864589501193","0.625843165877025","0.792400637956018","0.875469923442654","0.943029407293637","0.994542341493922","2939.8517786497","0.999877617037939","4.53544521464995","0.00388307296118049","0.225577513843401","4.11693934103433","4.37585446826856","4.53244387762354","4.68906202949197","4.98302842365663","3374.74148389077","0.999357215969649","5.58672153436148","0.0312366755237212","1.5058543429507","3.37291466030753","4.53954079409663","5.36201405023228","6.3528869228931","9.28200813544469","2324.00104512136","1.00084971476714",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1254.32227456207","7.5561582804944"
"everything","hurdle","TRUE","-1","1.26167154365263e-16","2.33998909863839e-17","3.32134129640692e-17","8.92450810203063e-17","9.26227267479576e-17","1.24135816735022e-16","1.59710365641855e-16","1.65223798059951e-16","2.01464876745554","14.3949132355218","0.514245040756077","0.195647370959661","0.276971141608726","0.20675162767326","0.236439520196652","0.506348003331404","0.746589713599448","0.875619330013092","2.00410748193614","36.5257804804458","4.47516110619205","0.146784324689783","0.26655320746023","4.04644798533222","4.24119760383795","4.44021244520292","4.63734642200751","5.01308343059637","3.29767967376878","2.04840417467243","4.68665399151368","0.355665949303267","0.67177874731422","3.25879205631778","4.27460082031959","4.79184927603212","5.14109427586263","5.96695108848558","3.56753253846107","2.5635799738083","0.84834626510581","0.144951773587128","0.214705902266764","0.569091104350274","0.711165340059483","0.761473465012723","0.999649108887308","1.22493515034346","2.19402160308899","6.27513219204731","-0.124961924846784","0.00679027293066625","0.0238761636059756","-0.167565688950355","-0.138391469485583","-0.125532350843192","-0.112418706047225","-0.0696350186163848","12.3638757110229","1.41597209044132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1408.73352691206","8.48634654766299"
"first","gen","FALSE",NA,"3.35886342386938","0.007553310373018","0.340416389039716","2.72283078315245","3.11521140398234","3.35143051876525","3.59402383156377","4.05174863022282","2031.16993680629","1.00040850878028","0.868581542259127","0.00209659439677077","0.0915652027991409","0.660747232702288","0.809456122377486","0.884141502049772","0.943332414602938","0.994172040697392","1907.35741329694","1.00010013386377","5.75062874090052","0.00381687793829374","0.218378836489912","5.33020651597281","5.60643881052278","5.74561992729889","5.89313888334358","6.18328372657415","3273.44126021805","1.00028672740827","6.68517464201692","0.0263279488432027","1.39681326698844","4.52730870271478","5.67811359632638","6.50918151585458","7.46591617530608","9.75810979268825","2814.76830295171","1.00057108422415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1934.43318038161","8.67458825283232"
"first","hurdle","FALSE","-2","2.84938932481358","0.00801118206770617","0.424498363474313","2.15832157423865","2.54298809009333","2.79535493825223","3.10282984635582","3.81019582497038","2807.75259127445","1.00016416188687","0.714815486482004","0.0029812198765464","0.16179178698664","0.406207268136404","0.59490319645876","0.711921846675572","0.849131236128251","0.983264557873635","2945.26873592706","1.00016728135624","5.7603188631372","0.00328554527780899","0.214866815199287","5.35878162896251","5.61336623376062","5.7569323898435","5.90108218011962","6.19931342275185","4276.84765182731","1.00007556274715","6.70640105579566","0.0241537188428014","1.39881998906379","4.52707593883808","5.71057471119231","6.53530734120378","7.52632328752396","9.80141689868532","3353.94275745895","0.999364601107872","-0.212231998233647","0.00686492334497312","0.370768712004051","-0.946204472528652","-0.459753335768731","-0.20409246482173","0.0402338894998847","0.505306146542813","2916.98887105434","1.00011752759925","-0.15143440446868","0.00112596329167005","0.0609794945847566","-0.274204983577061","-0.19266938165917","-0.15192999837052","-0.109254567645919","-0.0338984545673147","2933.04804461104","0.999931959000447","0.400348882613939","0.0080207003350573","0.381492887638124","-0.350168951263109","0.146570973109633","0.401695645225438","0.65542966456773","1.15253590028333","2262.29017631299","1.000149050151","-0.302533461741099","0.0014359434294201","0.0733064725970055","-0.454592674062835","-0.350187516648948","-0.300842667651327","-0.253311112422252","-0.164941680812213","2606.21345932216","0.999882218270189","1960.29702885717","8.79056963613082"
"five","gen","TRUE",NA,"2.06913088849693","0.0029642606022122","0.172130748647467","1.74747942811867","1.94951753651402","2.0620962711616","2.1789481333057","2.42355504807564","3371.97348933722","1.00008199104722","0.313044854860039","0.00170273251010842","0.095599248946388","0.152773821879301","0.248775131181147","0.303871893792845","0.368740638915549","0.527850927960459","3152.21698356773","1.00012277568508","5.22394133909613","0.00415844481423394","0.267622397905514","4.7300268081464","5.04011450895551","5.21386164128637","5.40531128975408","5.77193018862179","4141.74188960259","0.999975140027645","4.61467654953182","0.0186662288816952","1.07035126014397","2.96092302422869","3.84246874702385","4.46366569675996","5.20086852453111","7.14434319793972","3288.05804672198","1.00069336060729",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1292.16023338128","8.23031995784253"
"for","gen","TRUE",NA,"2.51855091159879","0.00108350272828199","0.0645267562348135","2.39428734864196","2.47403312487152","2.51794356508646","2.56113747812605","2.64926312826091","3546.66075083021","0.999599440584458","0.292970934356227","0.000421564123107975","0.0264421406354182","0.242536740042501","0.274816665816259","0.29233721624726","0.310613720206355","0.346286159800412","3934.28606417128","1.00025217424514","6.10808071168187","0.00138665881902709","0.0874272808449459","5.93831606785138","6.04791649203601","6.1065115564913","6.16450045239903","6.2808497103427","3975.16084759733","0.999893140053424","8.78756789710337","0.0145673025773429","0.873427663835424","7.25325923342936","8.15894297155095","8.73209323034378","9.33115001514089","10.6690404446179","3594.97276097609","0.99998496774603",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11991.3975836762","8.53480255065921"
"for","hurdle","TRUE","-2","2.79236003264476","0.00275739897373523","0.161894914689134","2.47745135573334","2.6820020828525","2.79271434288351","2.90004444464884","3.10890287708443","3447.20566908355","1.00062140212683","0.210507330489502","0.000467185296958545","0.0282178053550806","0.157445432688524","0.191244847741637","0.210188334298426","0.229462311547794","0.266072844809063","3648.11175589543","1.00037844012287","6.10832228065822","0.0011594244744728","0.0843919289921988","5.9459732688082","6.05189962553283","6.10756753255602","6.16272473475253","6.28212870340873","5298.06034197647","0.999206669854623","8.78668951275536","0.0119902610459091","0.84329394099778","7.28106576637219","8.20925893547022","8.72549891195196","9.32617892235476","10.5818207041325","4946.53040652639","1.00015259504952","0.238203931250737","0.00239978418018057","0.135117767022153","-0.0281194877985733","0.147338989935037","0.236559812894273","0.327330284282597","0.503194221324852","3170.15536331797","1.00006998697965","-0.170764033013218","0.000374431045108457","0.0213716283823702","-0.212439017413697","-0.184908048350382","-0.170950343748942","-0.156131077868276","-0.12927783265789","3257.85332483078","1.00035718429336","-1.09654485122567","0.00428058275987624","0.227844334399805","-1.54479416692564","-1.25416173654644","-1.09000207148306","-0.938150802835076","-0.671418918919781","2833.15719522689","1.00123191025766","-0.212599167386183","0.000719475096360204","0.0403431341776734","-0.293412277735637","-0.240366228793581","-0.212173120653571","-0.18473239608229","-0.136448542395484","3144.1824356081","1.00136801833706","12171.5204287262","8.66300386386205"
"four","gen","TRUE",NA,"2.14689340224171","0.00566252942905492","0.22634660383306","1.75817295438264","1.99683859000696","2.12626696398389","2.26996292617671","2.68257390524817","1597.81693905372","1.00674625552258","0.486908421550838","0.00423100716225291","0.14851238561581","0.260418941431984","0.381846948734574","0.463335732795856","0.564231787637067","0.868901882518933","1232.07693586921","1.00599308172153","5.23024174794286","0.00445646892537025","0.274638538485508","4.71462011953494","5.03816271386318","5.22414092588739","5.41353529714807","5.78103888107472","3797.87960681248","1.00033139717517","4.10996624882558","0.0156509558609335","0.955416825381229","2.61062314929461","3.43508295885473","3.97783091759143","4.63623931691849","6.3814535944065","3726.52498229332","0.999976211095933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1317.34916103947","8.3376529179713"
