"word","model_type","back","hurdle_place","theta_mean","theta_se_mean","theta_sd","theta_2.5%","theta_25%","theta_50%","theta_75%","theta_97.5%","theta_n_eff","theta_Rhat","lambda_mean","lambda_se_mean","lambda_sd","lambda_2.5%","lambda_25%","lambda_50%","lambda_75%","lambda_97.5%","lambda_n_eff","lambda_Rhat","mu_mean","mu_se_mean","mu_sd","mu_2.5%","mu_25%","mu_50%","mu_75%","mu_97.5%","mu_n_eff","mu_Rhat","phi_mean","phi_se_mean","phi_sd","phi_2.5%","phi_25%","phi_50%","phi_75%","phi_97.5%","phi_n_eff","phi_Rhat","psi_intercept_mean","psi_intercept_se_mean","psi_intercept_sd","psi_intercept_2.5%","psi_intercept_25%","psi_intercept_50%","psi_intercept_75%","psi_intercept_97.5%","psi_intercept_n_eff","psi_intercept_Rhat","psi_slope_mean","psi_slope_se_mean","psi_slope_sd","psi_slope_2.5%","psi_slope_25%","psi_slope_50%","psi_slope_75%","psi_slope_97.5%","psi_slope_n_eff","psi_slope_Rhat","alpha_mean","alpha_se_mean","alpha_sd","alpha_2.5%","alpha_25%","alpha_50%","alpha_75%","alpha_97.5%","alpha_n_eff","alpha_Rhat","waic","waic_scaled"
"where","gen","FALSE",NA,"0.671875598949685","0.00076771760601997","0.0485622733067159","0.578037035633679","0.638961781169089","0.670725636691075","0.704701111977913","0.768683983835217","4001.24382487451","1.00015578899083","0.559659835952185","0.000543901602515764","0.0348406915632627","0.490458153847795","0.536421299021635","0.56011499293506","0.583253218166398","0.627236888931069","4103.29609525033","0.999560403739381","5.09277139948157","0.00235095796597524","0.159968209626037","4.78785907294528","4.98368103580569","5.08937691890921","5.20097918874605","5.41281872102892","4629.96427438878","1.00048821203361","5.01518376582904","0.0110006753925946","0.712963685142469","3.77407594552204","4.5130375954553","4.95588771258309","5.43133194699029","6.60662113839361","4200.45290421975","1.00003014349638",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3406.18833696049","8.30777643161096"
"where","hurdle","FALSE","0","1.88654786845086","0.00371870743432513","0.213944244609909","1.47942209512758","1.73926118345717","1.88239942501969","2.03234786256979","2.31581729683411","3309.91767251681","1.00023493095712","0.337343340079638","0.000856291570963409","0.049190642565971","0.238948092184592","0.303513388136372","0.337033317453484","0.369956245554731","0.434271506421962","3300.05861173889","1.00004094613458","5.09697394612503","0.00249603933790626","0.155903055179172","4.79066439138987","4.98952361466352","5.09252869917003","5.20295893108867","5.40925354787905","3901.27352742668","1.00035226125731","5.01136007425554","0.0120747870580258","0.725297889949799","3.78586077561203","4.49107062264113","4.95822302495938","5.44321864975816","6.64067558388613","3608.06096219644","1.00182488541096","2.29966859554847","0.00550343758827082","0.265896036975486","1.7923292803556","2.11358886414873","2.29537055599636","2.48290126232425","2.83648184175771","2334.29445022912","1.00071074388809","-0.418499660114236","0.000990944589240316","0.0486502878793499","-0.515073362599345","-0.451565091442067","-0.417293294641328","-0.385329619570275","-0.326918617274155","2410.30547687491","1.00087782356395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3269.81150988572","7.97515002411151"
"which","gen","FALSE",NA,"0.260304435916819","0.00051543897431772","0.0340300880811197","0.199193565838655","0.236836666997866","0.258118531042146","0.281634123459911","0.332505065887033","4358.84713078341","1.00094056200889","0.628430942615638","0.000981811222708791","0.0615108040573514","0.515885066047363","0.585258898701936","0.626319091317827","0.669847217378037","0.755127556875513","3925.06473696745","1.00038563116911","4.53199002025438","0.0028008046447889","0.184232920927615","4.17961614310977","4.40673730274307","4.52772588334641","4.65843533389601","4.90043189686109","4326.82010891446","1.00049501860477","4.5018136412678","0.0126714913157151","0.777149302920008","3.22658465492637","3.96189303241862","4.40948372259288","4.96053553108269","6.28045299737152","3761.43414856714","0.999474513898739",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1781.89402616558","6.77526245690334"
"who","gen","FALSE",NA,"0.646434306802616","0.000750388900488714","0.0461065407037688","0.559117183715556","0.614311406613754","0.646324605607064","0.677757536765582","0.737765892633321","3775.30701611003","0.999146036490837","0.606210172577945","0.000535746193817175","0.034037344701998","0.541539641647307","0.582695992944575","0.605770197383826","0.629281600729245","0.67233867564069","4036.39033035433","0.999371159811426","5.33395155746237","0.0029037062318296","0.184915637311222","4.97924413535693","5.20912429352925","5.32986981127345","5.45614980998004","5.70489837412465","4055.47682511981","0.99962025679923","3.23910965170945","0.00601915450846589","0.368592490021725","2.58230190473716","2.98005341444709","3.21979804725668","3.46947893011874","3.98580250062423","3749.91981728377","0.999613620890285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3529.74863557644","8.60914301360107"
"who","hurdle","FALSE","0","2.14718780078493","0.00498759800730343","0.247322442339952","1.66196104910624","1.97995543900889","2.14862765168969","2.31590093228474","2.6331900811217","2458.91868784864","0.999708941059975","0.344639016056441","0.00102588546536119","0.0524555968440611","0.24416520192811","0.309274533285766","0.343229623823682","0.379670946512236","0.445196263168814","2614.4835402057","0.999866484107307","5.33644921289512","0.0029608296878731","0.187563537675215","4.9765654533401","5.20432395764704","5.3374186072822","5.45751121560997","5.7080577510238","4013.0075561578","0.999994249843623","3.23624228915412","0.00617679073288848","0.372990334038811","2.58939619532851","2.97437589445842","3.20683946319579","3.47188459923333","4.04398036102755","3646.44257747749","0.999910801743724","1.61581899721734","0.00409748770541092","0.210097598725239","1.22265175026725","1.4714857751513","1.61264421734394","1.75751793426673","2.02371915938072","2629.09851100116","1.00159881080874","-0.255209271347379","0.000669031239606797","0.0340338999418136","-0.324115569966856","-0.277357749863947","-0.253843066783529","-0.23152716832761","-0.191054007531723","2587.79959902537","1.00221614071731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3419.28880306939","8.33972878797412"
"whole","gen","TRUE",NA,"2.05109476863084","0.00278401720392299","0.154093895110666","1.75692947568971","1.94650960093677","2.04566560621008","2.15416455072323","2.36993652441968","3063.5645610126","0.999943928519342","0.180129816324778","0.000907158258712806","0.0474585723715886","0.0884998146686633","0.148328900622379","0.179880024584135","0.211463791034394","0.27638187578386","2736.9270520123","0.99925910293685","6.13207526400022","0.00421927187183531","0.253347566955659","5.64634516381602","5.96164934621268","6.12640228012838","6.29865394914676","6.64671779957247","3605.44151396522","1.00032798099031","9.79069508839426","0.0341667978657811","2.04528276177949","6.36914434042817","8.31406571060258","9.62069468118502","11.0595247856188","14.3928244958596","3583.42368045666","0.999780873044761",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1341.26256280754","8.70949716108795"
"whole","hurdle","TRUE","-2","1.76554608683664","0.015130806086611","0.53958479725782","0.692358633532468","1.40350394442733","1.76688964894992","2.12143263070786","2.80456845318126","1271.73106184546","1.00170568352229","0.278681896768154","0.00243428805020876","0.0949184795949312","0.0937674939511982","0.21447576321028","0.278822790334785","0.342177544468202","0.471341480719615","1520.3991278715","1.0014149282944","6.12941293584181","0.00397313583816271","0.256668935122481","5.62653194367054","5.95362329785421","6.12461148141293","6.30206344154296","6.64630387495516","4173.30178066337","1.00063423274447","9.73239299324903","0.0337640704579359","2.12792213222105","6.33733508933051","8.26299407196693","9.46867825443489","10.9508492637947","14.5139975065546","3971.932574378","1.00016190244729","1.6935204149542","0.00946954408639559","0.469995999106195","0.7917272552049","1.36964663319007","1.68043971971641","2.00027902684573","2.64823316818419","2463.37302479016","1.0006755944789","-0.35224769192047","0.00152704930143253","0.0766605043884847","-0.507766057159768","-0.402796010737534","-0.350925818641983","-0.297912860720567","-0.208737740354751","2520.21288372238","1.00087686950469","0.0388828470602919","0.000235904340264528","0.0157762714214264","0.0145450643983512","0.0272245981835397","0.0369388661165944","0.0478558305043961","0.0758272118083753","4472.3612537182","0.999158592411967","1284.58508413562","8.34146158529623"
"why","gen","FALSE",NA,"0.749645657807971","0.000957150811682398","0.0589119325866584","0.637950303409377","0.709144342129233","0.749661152529967","0.787199477790375","0.87115716460794","3788.31248933627","0.999709269194471","0.433071040760165","0.000659114482461571","0.0405525902773474","0.353367500523881","0.406049630688413","0.431744218857086","0.460973431409645","0.514249297336937","3785.43236454924","0.999833027788739","5.21027058292046","0.00381133666788719","0.242517063109896","4.75033919358819","5.05259989665793","5.20429388114925","5.36930866463213","5.68760307082426","4048.8340279903","0.999514537875228","2.06743109816591","0.0044934503059206","0.266744248101099","1.60036214065585","1.88162513972924","2.04536897772417","2.22995290698209","2.63845442911318","3523.95407966657","1.00157469777517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2794.72885200816","8.57278788959557"
"will","gen","FALSE",NA,"1.78476251441104","0.00168809865541274","0.102263117595273","1.58881681149383","1.71554517211332","1.78187139171051","1.85409593273929","1.98790550055218","3669.80010784645","1.00000750563079","0.249691473309272","0.000544966960765298","0.0340438457980219","0.185353605057304","0.226432908085595","0.249043679423738","0.272584815017947","0.317811169792934","3902.44582216029","0.999842065337528","5.39778992333357","0.00279577117913432","0.175778459814487","5.05788986938646","5.27728506060334","5.39535124499187","5.51915603466384","5.75132597471293","3953.01136149738","0.999923265745716","7.91522739326338","0.0242883858508805","1.41520263907653","5.57004469106422","6.92608820390623","7.76045226150583","8.75080524863369","11.0307091612745","3395.00135858658","0.999348346956165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2561.41789444784","8.77197909057481"
"with","gen","TRUE",NA,"2.02859442386038","0.00100187559674107","0.0577231223023403","1.9187107626348","1.98878061206046","2.0290787436157","2.06753181997036","2.13965111491767","3319.49510240935","0.99989695993523","0.126877161304333","0.000299962702190707","0.0176025291000427","0.0932217093124967","0.114911871355045","0.126401738474739","0.139038787745419","0.162197877732387","3443.62321876211","1.00034974700575","6.27646009800836","0.00143796647062515","0.0916224687308692","6.10275399014179","6.2135194377512","6.27561698709907","6.33962102495601","6.45883168193301","4059.81701805704","0.999869375500772","9.66050890792774","0.017123710541355","0.992740298857439","7.95461354973739","8.96102031703275","9.58909855885683","10.3037005912808","11.811034246862","3361.0544463113","0.999268063642419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10399.8606204142","8.78366606453901"
